text,label
Germany requires newcomers to register their address within 14 days,immigration
The Bundesrat voted on the new immigration reform package,politics
Bayern Munich won the Champions League final last night,sports
The new machine learning model achieves state-of-the-art on GLUE,tech
Floods in Pakistan affected over 3 million people this week,disaster
Germany's unemployment rate dropped to 5.1% in April,economics
The annual Islamic book fair opens in Frankfurt tomorrow,culture
Scientists discover new exoplanet in the habitable zone,science
Hamburg Bürgeramt now offers online Anmeldung appointments,immigration
The Bundesliga season kicks off this weekend with key matches,sports
